X,Y,Z,node_type,ID
702,128,28,golgi,0
702,81,26,golgi,1
695,359,25,golgi,2
695,303,22,golgi,3
694,471,22,golgi,4
693,483,21,golgi,5
692,506,23,golgi,6
685,95,17,golgi,7
685,61,29,golgi,8
685,31,13,golgi,9
680,427,18,golgi,10
665,467,21,golgi,11
661,299,17,golgi,12
653,495,21,golgi,13
601,495,21,golgi,14
589,203,21,golgi,15
572,175,21,golgi,16
557,145,28,golgi,17
554,59,15,golgi,18
553,499,17,golgi,19
553,411,20,golgi,20
546,375,15,golgi,21
540,301,28,golgi,22
532,371,32,golgi,23
519,188,19,golgi,24
517,279,29,golgi,25
516,127,33,golgi,26
511,213,26,golgi,27
498,205,27,golgi,28
497,319,13,golgi,29
496,199,25,golgi,30
494,59,21,golgi,31
479,75,21,golgi,32
466,517,18,golgi,33
465,510,17,golgi,34
463,444,27,golgi,35
461,295,25,golgi,36
445,247,17,golgi,37
410,389,24,golgi,38
397,299,17,golgi,39
396,352,21,golgi,40
386,38,33,golgi,41
381,171,17,golgi,42
380,519,18,golgi,43
378,527,20,golgi,44
377,83,25,golgi,45
373,63,25,golgi,46
353,155,29,golgi,47
337,163,31,golgi,48
329,543,21,golgi,49
326,287,23,golgi,50
322,175,34,golgi,51
318,471,25,golgi,52
316,239,21,golgi,53
313,217,28,golgi,54
309,251,21,golgi,55
304,462,23,golgi,56
302,126,29,golgi,57
297,161,22,golgi,58
289,120,25,golgi,59
276,130,27,golgi,60
274,409,28,golgi,61
270,551,22,golgi,62
270,395,32,golgi,63
268,319,38,golgi,64
265,327,37,golgi,65
264,424,24,golgi,66
261,291,33,golgi,67
258,431,22,golgi,68
252,291,30,golgi,69
252,149,21,golgi,70
248,307,32,golgi,71
221,448,29,golgi,72
209,367,29,golgi,73
199,39,21,golgi,74
197,499,29,golgi,75
182,359,22,golgi,76
181,140,28,golgi,77
173,239,21,golgi,78
170,353,22,golgi,79
169,135,29,golgi,80
165,526,19,golgi,81
163,247,23,golgi,82
162,283,21,golgi,83
138,55,27,golgi,84
133,263,23,golgi,85
121,158,26,golgi,86
114,389,25,golgi,87
114,171,30,golgi,88
104,451,25,golgi,89
102,488,28,golgi,90
89,283,21,golgi,91
79,27,27,golgi,92
68,303,29,golgi,93
45,71,25,golgi,94
27,291,32,golgi,95
701,308,24,nuclei,96
698,118,18,nuclei,97
694,524,22,nuclei,98
694,51,22,nuclei,99
694,36,25,nuclei,100
689,81,29,nuclei,101
684,409,24,nuclei,102
683,373,21,nuclei,103
680,383,18,nuclei,104
671,486,28,nuclei,105
641,300,21,nuclei,106
637,492,23,nuclei,107
590,228,21,nuclei,108
585,508,24,nuclei,109
573,544,21,nuclei,110
571,154,24,nuclei,111
556,68,28,nuclei,112
555,398,24,nuclei,113
550,476,20,nuclei,114
540,361,20,nuclei,115
529,293,27,nuclei,116
529,205,13,nuclei,117
526,109,33,nuclei,118
513,105,29,nuclei,119
504,187,32,nuclei,120
498,220,22,nuclei,121
480,61,28,nuclei,122
478,509,18,nuclei,123
476,329,16,nuclei,124
471,86,24,nuclei,125
464,425,30,nuclei,126
461,469,17,nuclei,127
452,401,24,nuclei,128
451,270,24,nuclei,129
425,237,21,nuclei,130
400,273,18,nuclei,131
397,341,29,nuclei,132
396,370,22,nuclei,133
389,69,25,nuclei,134
388,40,16,nuclei,135
386,513,17,nuclei,136
385,189,19,nuclei,137
382,540,22,nuclei,138
380,352,26,nuclei,139
368,132,28,nuclei,140
343,171,33,nuclei,141
337,273,25,nuclei,142
328,213,24,nuclei,143
316,326,24,nuclei,144
313,113,25,nuclei,145
312,521,28,nuclei,146
310,480,30,nuclei,147
294,464,26,nuclei,148
284,156,22,nuclei,149
281,397,25,nuclei,150
281,319,39,nuclei,151
274,416,20,nuclei,152
266,376,30,nuclei,153
266,140,24,nuclei,154
244,297,24,nuclei,155
235,441,29,nuclei,156
222,380,30,nuclei,157
216,25,28,nuclei,158
213,472,33,nuclei,159
206,49,24,nuclei,160
205,174,32,nuclei,161
194,141,22,nuclei,162
186,517,28,nuclei,163
185,349,27,nuclei,164
175,261,29,nuclei,165
152,521,24,nuclei,166
148,239,24,nuclei,167
145,66,24,nuclei,168
133,273,29,nuclei,169
121,146,28,nuclei,170
118,56,25,nuclei,171
98,396,24,nuclei,172
89,473,27,nuclei,173
70,281,22,nuclei,174
66,48,29,nuclei,175
56,328,24,nuclei,176
34,280,28,nuclei,177
