X,Y,Z,node_type,ID
624,359,14,golgi,0
546,209,13,golgi,1
539,127,12,golgi,2
532,434,13,golgi,3
497,25,13,golgi,4
494,440,13,golgi,5
492,601,18,golgi,6
480,443,12,golgi,7
449,445,14,golgi,8
395,209,10,golgi,9
394,96,17,golgi,10
393,43,16,golgi,11
375,425,12,golgi,12
368,615,20,golgi,13
328,259,12,golgi,14
313,549,15,golgi,15
297,43,22,golgi,16
289,25,21,golgi,17
271,519,20,golgi,18
222,427,24,golgi,19
215,577,12,golgi,20
208,458,29,golgi,21
208,258,13,golgi,22
190,252,13,golgi,23
184,406,17,golgi,24
170,355,16,golgi,25
158,217,14,golgi,26
140,624,24,golgi,27
135,454,10,golgi,28
119,566,16,golgi,29
118,378,13,golgi,30
116,265,19,golgi,31
105,233,18,golgi,32
87,593,18,golgi,33
81,246,18,golgi,34
80,402,17,golgi,35
65,497,16,golgi,36
64,238,17,golgi,37
41,445,18,golgi,38
641,488,14,nuclei,39
633,379,11,nuclei,40
625,378,13,nuclei,41
574,309,9,nuclei,42
542,206,11,nuclei,43
540,230,13,nuclei,44
522,99,14,nuclei,45
518,25,15,nuclei,46
496,429,11,nuclei,47
481,604,21,nuclei,48
476,556,11,nuclei,49
461,434,15,nuclei,50
436,162,10,nuclei,51
432,426,14,nuclei,52
417,37,22,nuclei,53
402,78,21,nuclei,54
388,225,13,nuclei,55
380,410,11,nuclei,56
361,261,12,nuclei,57
357,607,23,nuclei,58
344,574,17,nuclei,59
333,598,26,nuclei,60
322,53,24,nuclei,61
316,551,14,nuclei,62
312,32,19,nuclei,63
309,325,14,nuclei,64
289,564,17,nuclei,65
283,520,15,nuclei,66
268,546,21,nuclei,67
265,502,26,nuclei,68
261,478,21,nuclei,69
233,270,11,nuclei,70
228,588,13,nuclei,71
216,571,13,nuclei,72
216,418,15,nuclei,73
200,433,27,nuclei,74
165,379,18,nuclei,75
161,232,18,nuclei,76
156,335,22,nuclei,77
149,621,25,nuclei,78
142,618,25,nuclei,79
123,579,15,nuclei,80
122,354,15,nuclei,81
120,306,23,nuclei,82
109,256,24,nuclei,83
106,604,15,nuclei,84
98,219,18,nuclei,85
84,276,19,nuclei,86
78,125,17,nuclei,87
69,220,21,nuclei,88
60,405,19,nuclei,89
59,177,16,nuclei,90
50,484,13,nuclei,91
42,190,11,nuclei,92
33,431,18,nuclei,93
